experiment_id,tree_id,age,mean_rld_cm_cm3,radial_distance_from_stem_m,soil_depth_m,soil_depth_sum_m,rld,fine_roots_weight_kg_per_plant,medium_roots_weight_kg_per_plant,large_roots_weight_kg_per_plant,total_root_to_1m__kg_per_plant,total_toots__kg_per_plant,year,row_location
A,5,14,0.19,1.248902821,-0.632258065,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,1.248902821,-0.709677419,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,1.248902821,-0.8,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,1.248902821,-0.890322581,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,1.253291536,-1.148387097,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,1.248902821,-1.303225806,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,1.244514107,-1.432258065,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,1.248902821,-1.535483871,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,1.301567398,-0.090322581,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,1.297178683,-0.15483871,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,1.297178683,-0.580645161,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,1.292789969,-0.683870968,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,1.292789969,-1.212903226,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,1.305956113,-1.393548387,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,1.297178683,-1.483870968,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,1.34984326,-0.167741935,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,1.345454545,-0.412903226,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,1.336677116,-0.683870968,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,1.341065831,-0.851612903,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,1.327899687,-1.135483871,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,1.424451411,-0.167741935,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,1.43322884,-0.348387097,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,1.424451411,-0.490322581,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,1.420062696,-0.683870968,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,1.424451411,-1.070967742,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
